Kingdom,Subkingdoms,Phyla,Subphyla,Classes,Subclasses,Orders,Families,Genera
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Septochytriaceae,Nephrochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Septochytriaceae,Phytochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Septochytriaceae,Septochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Septochytriaceae,Sparrowiella
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Achlyella
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Achlyogeton
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Coenomyces
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Illmanomyces
Fungi,Chytridiomyceta,Chytridiomycota,Incertae_sedis,Incertae_sedis,Incertae_sedis,Incertae_sedis,Quaeritorhizaceae,Quaeritorhiza
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Lobulomycetes,Incertae_sedis,Lobulomycetales,Lobulomycetaceae,Algochytrops
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Lobulomycetes,Incertae_sedis,Lobulomycetales,Lobulomycetaceae,Alogomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Lobulomycetes,Incertae_sedis,Lobulomycetales,Lobulomycetaceae,Clydaea
